year,jornada,date,stadium,teamA,logo_teamA,teamB,logo_teamB,scoreTeamA,scoreTeamB,winner,winnerAsNumeric
1930,11,09 Feb 30,San Mamés,Athletic,Athletic.jpg,CE Europa,CE Europa.jpg,3,0,Athletic,1
1930,11,09 Feb 30,Camp Nou,Barcelona,Barcelona.jpg,Arenas,Arenas.jpg,3,1,Barcelona,1
1930,11,09 Feb 30,Campos de Sport de El Sardinero,Racing,Racing.jpg,Sociedad,Sociedad.jpg,2,0,Racing,1
1930,11,09 Feb 30,Stadium Gal,Real Unión,Real Unión.jpg,Real Madrid,Real Madrid.jpg,2,2,Draw,0
1930,11,12 Feb 30,Wanda Metropolitano,Atlético,Atlético.jpg,Espanyol,Espanyol.jpg,2,0,Atlético,1
1930,12,16 Feb 30,Municipal de Gobela,Arenas,Arenas.jpg,Racing,Racing.jpg,5,1,Arenas,1
1930,12,16 Feb 30,RCDE Stadium,Espanyol,Espanyol.jpg,Real Unión,Real Unión.jpg,3,1,Espanyol,1
1930,12,16 Feb 30,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Barcelona,Barcelona.jpg,0,3,Barcelona,2
1930,12,16 Feb 30,Anoeta,Sociedad,Sociedad.jpg,Athletic,Athletic.jpg,1,7,Athletic,2
1930,12,16 Feb 30,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Atlético,Atlético.jpg,4,1,Real Madrid,1
1930,13,23 Feb 30,San Mamés,Athletic,Athletic.jpg,Espanyol,Espanyol.jpg,6,0,Athletic,1
1930,13,23 Feb 30,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Arenas,Arenas.jpg,1,2,Arenas,2
1930,13,23 Feb 30,Campos de Sport de El Sardinero,Racing,Racing.jpg,Barcelona,Barcelona.jpg,2,1,Racing,1
1930,13,23 Feb 30,Stadium Gal,Real Unión,Real Unión.jpg,Atlético,Atlético.jpg,8,2,Real Unión,1
1930,13,23 Feb 30,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Sociedad,Sociedad.jpg,1,1,Draw,0
1930,14,02 Mar 30,San Mamés,Athletic,Athletic.jpg,Arenas,Arenas.jpg,5,2,Athletic,1
