year,jornada,date,stadium,teamA,teamB,scoreTeamA,scoreTeamB,winner,winnerAsNumeric
1930,5,29 Dic 29,Stadium Gal,Real Unión,Barcelona,1,3,Barcelona,2
1930,5,29 Dic 29,Santiago Bernabéu,Real Madrid,Espanyol,2,4,Espanyol,2
1930,6,05 Ene 30,San Mamés,Athletic,Real Unión,5,2,Athletic,1
1930,6,05 Ene 30,Camp Nou,Barcelona,Atlético,4,2,Barcelona,1
1930,6,05 Ene 30,Anoeta,Sociedad,Arenas,4,4,Draw,0
1930,6,05 Ene 31935,1,02 Dic 34,San Mamés,Athletic,Real Oviedo,4,0,Athletic,1
1935,1,02 Dic 34,Camp Nou,Barcelona,Arenas,4,0,Barcelona,1
1935,1,02 Dic 34,Campos de Sport de El Sardinero,Racing,Sociedad,2,1,Racing,1
1935,1,02 Dic 34,Santiago Bernabéu,Real Madrid,Real Betis,0,1,Real Betis,2
1935,1,02 Dic 34,Ramón Sánchez Pizjuán,Sevilla,Atlético,4,0,Sevilla,1
1935,1,02 Dic 34,Mestalla,Valencia,Espanyol,1,3,Espanyol,2
1935,2,09 Dic 34,Municipal de Gobela,Arenas,Valencia,2,1,Arenas,1
1935,2,09 Dic 34,Wanda Metropolitano,Atlético,Racing,3,1,Atlético,1
1935,2,09 Dic 34,Benito Villamarín,Real Betis,Barcelona,2,1,Real Betis,1
1935,2,09 Dic 34,RCDE Stadium,Espanyol,Athletic,1,3,Athletic,2
1935,2,09 Dic 34,Anoeta,Sociedad,Real Madrid,1,2,Real Madrid,2
1935,2,09 Dic 34,Carlos Tartiere,Real Oviedo,Sevilla,4,2,Real Oviedo,1
1935,3,16 Dic 34,Municipal de Gobela,Arenas,Real Betis,0,3,Real Betis,2
1935,3,16 Dic 34,Camp Nou,Barcelona,Sociedad,4,0,Barcelona,1
1935,3,16 Dic 34,Campos de Sport de El Sardinero,Racing,Real Oviedo,1,3,Real Oviedo,2
1935,3,16 Dic 34,Santiago Bernabéu,Real Madrid,Atlético,2,0,Real Madrid,1
1935,3,16 Dic 34,Ramón Sánchez Pizjuán,Sevilla,Espanyol,5,1,Sevilla,1
1935,3,16 Dic 34,Mestalla,Valencia,Athletic,1,0,Valencia,1
1935,4,23 Dic 34,San Mamés,Athletic,Sevilla,4,0,Athletic,1
1935,4,23 Dic 34,Wanda Metropolitano,Atlético,Barcelona,1,3,Barcelona,2
1935,4,23 Dic 34,Benito Villamarín,Real Betis,Valencia,3,0,Real Betis,1
1935,4,23 Dic 34,RCDE Stadium,Espanyol,Racing,4,2,Espanyol,1
1935,4,23 Dic 34,Anoeta,Sociedad,Arenas,3,2,Sociedad,1
1935,4,23 Dic 34,Carlos Tartiere,Real Oviedo,Real Madrid,0,3,Real Madrid,2
1935,5,30 Dic 34,Municipal de Gobela,Arenas,Atlético,3,1,Arenas,1
1935,5,30 Dic 34,Camp Nou,Barcelona,Real Oviedo,5,2,Barcelona,1
1935,5,30 Dic 34,Benito Villamarín,Real Betis,Sociedad,1,0,Real Betis,1
1935,5,30 Dic 34,Campos de Sport de El Sardinero,Racing,Athletic,6,0,Racing,1
1935,5,30 Dic 34,Santiago Bernabéu,Real Madrid,Espanyol,7,2,Real Madrid,1
1935,5,30 Dic 34,Mestalla,Valencia,Sevilla,2,1,Valencia,1
1935,6,06 Ene 35,San Mamés,Athletic,Real Madrid,4,1,Athletic,1
1935,6,06 Ene 35,Wanda Metropolitano,Atlético,Real Betis,4,2,Atlético,1
1935,6,06 Ene 35,RCDE Stadium,Espanyol,Barcelona,4,1,Espanyol,1
1935,6,06 Ene 35,Anoeta,Sociedad,Valencia,3,1,Sociedad,1
1935,6,06 Ene 35,Carlos Tartiere,Real Oviedo,Arenas,4,1,Real Oviedo,1
1935,6,06 Ene 35,Ramón Sánchez Pizjuán,Sevilla,Racing,2,0,Sevilla,1
1935,7,13 Ene 35,Municipal de Gobela,Arenas,Espanyol,0,4,Espanyol,2
1935,7,13 Ene 35,Camp Nou,Barcelona,Athletic,2,2,Draw,0
1935,7,13 Ene 35,Benito Villamarín,Real Betis,Real Oviedo,2,1,Real Betis,1
1935,7,13 Ene 35,Anoeta,Sociedad,Atlético,4,0,Sociedad,1
1935,7,13 Ene 35,Santiago Bernabéu,Real Madrid,Sevilla,3,1,Real Madrid,1
1935,7,13 Ene 35,Mestalla,Valencia,Racing,2,0,Valencia,1
1935,8,20 Ene 35,San Mamés,Athletic,Arenas,8,0,Athletic,1
1935,8,20 Ene 35,Wanda Metropolitano,Atlético,Valencia,5,2,Atlético,1
1935,8,20 Ene 35,RCDE Stadium,Espanyol,Real Betis,1,1,Draw,0
1935,8,20 Ene 35,Campos de Sport de El Sardinero,Racing,Real Madrid,1,2,Real Madrid,2
1935,8,20 Ene 35,Carlos Tartiere,Real Oviedo,Sociedad,4,0,Real Oviedo,1
1935,8,20 Ene 35,Ramón Sánchez Pizjuán,Sevilla,Barcelona,3,1,Sevilla,1
1935,9,27 Ene 35,Municipal de Gobela,Arenas,Sevilla,3,2,Arenas,1
1935,9,27 Ene 35,Wanda Metropolitano,Atlético,Real Oviedo,3,3,Draw,0
1935,9,27 Ene 35,Camp Nou,Barcelona,Racing,1,1,Draw,0
1935,9,27 Ene 35,Benito Villamarín,Real Betis,Athletic,1,0,Real Betis,1
1935,9,27 Ene 35,Anoeta,Sociedad,Espanyol,1,4,Espanyol,2
1935,9,27 Ene 35,Mestalla,Valencia,Real Madrid,4,1,Valencia,1
1935,10,03 Feb 35,San Mamés,Athletic,Sociedad,7,0,Athletic,1
1935,10,03 Feb 35,RCDE Stadium,Espanyol,Atlético,0,2,Atlético,2
1935,10,03 Feb 35,Campos de Sport de El Sardinero,Racing,Arenas,0,0,Draw,0
1935,10,03 Feb 35,Santiago Bernabéu,Real Madrid,Barcelona,8,2,Real Madrid,1
1935,10,03 Feb 35,Ramón Sánchez Pizjuán,Sevilla,Real Betis,0,3,Real Betis,2
1935,10,03 Feb 35,Mestalla,Valencia,Real Oviedo,0,4,Real Oviedo,2
1935,11,10 Feb 35,Municipal de Gobela,Arenas,Real Madrid,1,2,Real Madrid,2
1935,11,10 Feb 35,Wanda Metropolitano,Atlético,Athletic,2,2,Draw,0
1935,11,10 Feb 35,Camp Nou,Barcelona,Valencia,3,2,Barcelona,1
1935,11,10 Feb 35,Benito Villamarín,Real Betis,Racing,3,1,Real Betis,1
1935,11,10 Feb 35,Anoeta,Sociedad,Sevilla,0,0,Draw,0
1935,11,10 Feb 35,Carlos Tartiere,Real Oviedo,Espanyol,8,3,Real Oviedo,1
1935,12,17 Feb 35,Municipal de Gobela,Arenas,Barcelona,2,2,Draw,0
1935,12,17 Feb 35,Wanda Metropolitano,Atlético,Sevilla,1,0,Atlético,1
1935,12,17 Feb 35,Benito Villamarín,Real Betis,Real Madrid,1,0,Real Betis,1
1935,12,17 Feb 35,RCDE Stadium,Espanyol,Valencia,1,2,Valencia,2
1935,12,17 Feb 35,Anoeta,Sociedad,Racing,2,3,Racing,2
1935,12,17 Feb 35,Carlos Tartiere,Real Oviedo,Athletic,3,2,Real Oviedo,1
1935,13,24 Feb 35,San Mamés,Athletic,Espanyol,1,2,Espanyol,2
1935,13,24 Feb 35,Camp Nou,Barcelona,Real Betis,4,0,Barcelona,1
1935,13,24 Feb 35,Campos de Sport de El Sardinero,Racing,Atlético,2,2,Draw,0
1935,13,24 Feb 35,Santiago Bernabéu,Real Madrid,Sociedad,2,0,Real Madrid,1
1935,13,24 Feb 35,Ramón Sánchez Pizjuán,Sevilla,Real Oviedo,3,1,Sevilla,1
1935,13,24 Feb 35,Mestalla,Valencia,Arenas,2,0,Valencia,1
1935,14,03 Mar 35,San Mamés,Athletic,Valencia,4,1,Athletic,1
1935,14,03 Mar 35,Wanda Metropolitano,Atlético,Real Madrid,2,2,Draw,0
1935,14,03 Mar 35,Benito Villamarín,Real Betis,Arenas,0,0,Draw,0
1935,14,03 Mar 35,RCDE Stadium,Espanyol,Sevilla,1,4,Sevilla,2
1935,14,03 Mar 35,Anoeta,Sociedad,Barcelona,2,1,Sociedad,1
1935,14,03 Mar 35,Carlos Tartiere,Real Oviedo,Racing,3,0,Real Oviedo,1
1935,15,10 Mar 35,Municipal de Gobela,Arenas,Sociedad,0,1,Sociedad,2
1935,15,10 Mar 35,Camp Nou,Barcelona,Atlético,0,0,Draw,0
1935,15,10 Mar 35,Campos de Sport de El Sardinero,Racing,Espanyol,2,1,Racing,1
1935,15,10 Mar 35,Santiago Bernabéu,Real Madrid,Real Oviedo,2,1,Real Madrid,1
